PF00001.19	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002.22	7tm_2	7 transmembrane receptor (Secretin family)
PF00003.20	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004.27	AAA	ATPase family associated with various cellular activities (AAA)
PF00005.25	ABC_tran	ABC transporter
PF00006.23	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007.20	Cys_knot	Cystine-knot domain
PF00008.25	EGF	EGF-like domain
PF00009.25	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010.24	HLH	Helix-loop-helix DNA-binding domain
PF00011.19	HSP20	Hsp20/alpha crystallin family
PF00012.18	HSP70	Hsp70 protein
PF00013.27	KH_1	KH domain
PF00014.21	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015.19	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016.18	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017.22	SH2	SH2 domain
PF00018.26	SH3_1	SH3 domain
PF00019.18	TGF_beta	Transforming growth factor beta like domain
PF00020.16	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00021.19	UPAR_LY6	u-PAR/Ly-6 domain
PF00022.17	Actin	Actin
PF00023.28	Ank	Ankyrin repeat
PF00024.24	PAN_1	PAN domain
PF00025.19	Arf	ADP-ribosylation factor family
PF00026.21	Asp	Eukaryotic aspartyl protease
PF00027.27	cNMP_binding	Cyclic nucleotide-binding domain
PF00028.15	Cadherin	Cadherin domain
PF00029.17	Connexin	Connexin
PF00030.17	Crystall	Beta/Gamma crystallin
PF00031.19	Cystatin	Cystatin domain
PF00032.15	Cytochrom_B_C	Cytochrome b(C-terminal)/b6/petD
PF00033.17	Cytochrome_B	Cytochrome b/b6/petB
PF00034.19	Cytochrom_C	Cytochrome c
PF00035.24	dsrm	Double-stranded RNA binding motif
PF00036.30	EF-hand_1	EF hand
PF00037.25	Fer4	4Fe-4S binding domain
PF00038.19	Filament	Intermediate filament protein
PF00039.16	fn1	Fibronectin type I domain
PF00040.17	fn2	Fibronectin type II domain
PF00041.19	fn3	Fibronectin type III domain
PF00042.20	Globin	Globin
PF00043.23	GST_C	Glutathione S-transferase, C-terminal domain
PF00044.22	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045.17	Hemopexin	Hemopexin
PF00046.27	Homeobox	Homeobox domain
PF00047.23	ig	Immunoglobulin domain
PF00048.18	IL8	Small cytokines (intecrine/chemokine), interleukin-8 like
PF00049.16	Insulin	Insulin/IGF/Relaxin family
PF00050.19	Kazal_1	Kazal-type serine protease inhibitor domain
PF00051.16	Kringle	Kringle domain
PF00052.16	Laminin_B	Laminin B (Domain IV)
PF00053.22	Laminin_EGF	Laminin EGF domain
PF00054.21	Laminin_G_1	Laminin G domain
PF00055.15	Laminin_N	Laminin N-terminal (Domain VI)
PF00056.21	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain
PF00057.16	Ldl_recept_a	Low-density lipoprotein receptor domain class A
PF00058.15	Ldl_recept_b	Low-density lipoprotein receptor repeat class B
PF00059.19	Lectin_C	Lectin C-type domain
PF00060.24	Lig_chan	Ligand-gated ion channel
PF00061.21	Lipocalin	Lipocalin / cytosolic fatty-acid binding protein family
PF00062.18	Lys	C-type lysozyme/alpha-lactalbumin family
PF00063.19	Myosin_head	Myosin head (motor domain)
PF00064.16	Neur	Neuraminidase
PF00066.15	Notch	LNR domain
PF00067.20	p450	Cytochrome P450
PF00068.17	Phospholip_A2_1	Phospholipase A2
PF00069.23	Pkinase	Protein kinase domain
PF00070.25	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase
PF00071.20	Ras	Ras family
PF00072.22	Response_reg	Response regulator receiver domain
PF00073.18	Rhv	picornavirus capsid protein
PF00074.18	RnaseA	Pancreatic ribonuclease
PF00075.22	RNase_H	RNase H
PF00076.20	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077.18	RVP	Retroviral aspartyl protease
PF00078.25	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079.18	Serpin	Serpin (serine protease inhibitor)
PF00080.18	Sod_Cu	Copper/zinc superoxide dismutase (SODC)
PF00081.20	Sod_Fe_N	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082.20	Peptidase_S8	Subtilase family
PF00083.22	Sugar_tr	Sugar (and other) transporter
PF00084.18	Sushi	Sushi repeat (SCR repeat)
PF00085.18	Thioredoxin	Thioredoxin
PF00086.16	Thyroglobulin_1	Thyroglobulin type-1 repeat
PF00087.19	Toxin_1	Snake toxin
PF00088.16	Trefoil	Trefoil (P-type) domain
PF00089.24	Trypsin	Trypsin
PF00090.17	TSP_1	Thrombospondin type 1 domain
PF00091.23	Tubulin	Tubulin/FtsZ family, GTPase domain
PF00092.26	VWA	von Willebrand factor type A domain
PF00093.16	VWC	von Willebrand factor type C domain
PF00094.23	VWD	von Willebrand factor type D domain
PF00095.19	WAP	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096.24	zf-C2H2	Zinc finger, C2H2 type
PF00097.23	zf-C3HC4	Zinc finger, C3HC4 type (RING finger)
PF00098.21	zf-CCHC	Zinc knuckle
PF00100.21	Zona_pellucida	Zona pellucida-like domain
PF00101.18	RuBisCO_small	Ribulose bisphosphate carboxylase, small chain
PF00102.25	Y_phosphatase	Protein-tyrosine phosphatase
PF00103.18	Hormone_1	Somatotropin hormone family
PF00104.28	Hormone_recep	Ligand-binding domain of nuclear hormone receptor
PF00105.16	zf-C4	Zinc finger, C4 type (two domains)
PF00106.23	adh_short	short chain dehydrogenase
PF00107.24	ADH_zinc_N	Zinc-binding dehydrogenase
PF00108.21	Thiolase_N	Thiolase, N-terminal domain
PF00109.24	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain
PF00110.17	wnt	wnt family
PF00111.25	Fer2	2Fe-2S iron-sulfur cluster binding domain
PF00112.21	Peptidase_C1	Papain family cysteine protease
PF00113.20	Enolase_C	Enolase, C-terminal TIM barrel domain
PF00114.17	Pilin	Pilin (bacterial filament)
PF00115.18	COX1	Cytochrome C and Quinol oxidase polypeptide I
PF00116.18	COX2	Cytochrome C oxidase subunit II, periplasmic domain
PF00117.26	GATase	Glutamine amidotransferase class-I
PF00118.22	Cpn60_TCP1	TCP-1/cpn60 chaperonin family
PF00119.18	ATP-synt_A	ATP synthase A chain
PF00120.22	Gln-synt_C	Glutamine synthetase, catalytic domain
PF00121.16	TIM	Triosephosphate isomerase
PF00122.18	E1-E2_ATPase	E1-E2 ATPase
PF00123.18	Hormone_2	Peptide hormone
PF00124.17	Photo_RC	Photosynthetic reaction centre protein
PF00125.22	Histone	Core histone H2A/H2B/H3/H4
PF00126.25	HTH_1	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127.18	Copper-bind	Copper binding proteins, plastocyanin/azurin family
PF00128.22	Alpha-amylase	Alpha amylase, catalytic domain
PF00129.16	MHC_I	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00130.20	C1_1	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131.18	Metallothio	Metallothionein
PF00132.22	Hexapep	Bacterial transferase hexapeptide (six repeats)
PF00133.20	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)
PF00134.21	Cyclin_N	Cyclin, N-terminal domain
PF00135.26	COesterase	Carboxylesterase family
PF00136.19	DNA_pol_B	DNA polymerase family B
PF00137.19	ATP-synt_C	ATP synthase subunit C
PF00139.17	Lectin_legB	Legume lectin domain
PF00140.18	Sigma70_r1_2	Sigma-70 factor, region 1.2
PF00141.21	peroxidase	Peroxidase
PF00142.16	Fer4_NifH	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00143.17	Interferon	Interferon alpha/beta domain
PF00144.22	Beta-lactamase	Beta-lactamase
PF00145.15	DNA_methylase	C-5 cytosine-specific DNA methylase
PF00146.19	NADHdh	NADH dehydrogenase
PF00147.16	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148.17	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase
PF00149.26	Metallophos	Calcineurin-like phosphoesterase
PF00150.16	Cellulase	Cellulase (glycosyl hydrolase family 5)
PF00151.17	Lipase	Lipase
PF00152.18	tRNA-synt_2	tRNA synthetases class II (D, K and N)
PF00153.25	Mito_carr	Mitochondrial carrier protein
PF00154.19	RecA	recA bacterial DNA recombination protein
PF00155.19	Aminotran_1_2	Aminotransferase class I and II
PF00156.25	Pribosyltran	Phosphoribosyl transferase domain
PF00157.15	Pou	Pou domain - N-terminal to homeobox domain
PF00158.24	Sigma54_activat	Sigma-54 interaction domain
PF00159.16	Hormone_3	Pancreatic hormone peptide
PF00160.19	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161.17	RIP	Ribosome inactivating protein
PF00162.17	PGK	Phosphoglycerate kinase
PF00163.17	Ribosomal_S4	Ribosomal protein S4/S9 N-terminal domain
PF00164.23	Ribosom_S12_S23	Ribosomal protein S12/S23
PF00165.21	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family
PF00166.19	Cpn10	Chaperonin 10 Kd subunit
PF00167.16	FGF	Fibroblast growth factor
PF00168.28	C2	C2 domain
PF00169.27	PH	PH domain
PF00170.19	bZIP_1	bZIP transcription factor
PF00171.20	Aldedh	Aldehyde dehydrogenase family
PF00172.16	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173.26	Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain
PF00174.17	Oxidored_molyb	Oxidoreductase molybdopterin binding domain
PF00175.19	NAD_binding_1	Oxidoreductase NAD-binding domain
PF00176.21	SNF2_N	SNF2 family N-terminal domain
PF00177.19	Ribosomal_S7	Ribosomal protein S7p/S5e
PF00178.20	Ets	Ets-domain
PF00179.24	UQ_con	Ubiquitin-conjugating enzyme
PF00180.18	Iso_dh	Isocitrate/isopropylmalate dehydrogenase
PF00181.21	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain
PF00182.17	Glyco_hydro_19	Chitinase class I
PF00183.16	HSP90	Hsp90 protein
PF00184.15	Hormone_5	Neurohypophysial hormones, C-terminal Domain
PF00185.22	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186.17	DHFR_1	Dihydrofolate reductase
PF00187.17	Chitin_bind_1	Chitin recognition protein
PF00188.24	CAP	Cysteine-rich secretory protein family
PF00189.18	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain
PF00190.20	Cupin_1	Cupin
PF00191.18	Annexin	Annexin
PF00193.15	Xlink	Extracellular link domain
PF00194.19	Carb_anhydrase	Eukaryotic-type carbonic anhydrase
PF00195.17	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain
PF00196.17	GerE	Bacterial regulatory proteins, luxR family
PF00197.16	Kunitz_legume	Trypsin and protease inhibitor
PF00198.21	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199.17	Catalase	Catalase
PF00200.21	Disintegrin	Disintegrin
PF00201.16	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202.19	Aminotran_3	Aminotransferase class-III
PF00203.19	Ribosomal_S19	Ribosomal protein S19
PF00204.23	DNA_gyraseB	DNA gyrase B
PF00205.20	TPP_enzyme_M	Thiamine pyrophosphate enzyme, central domain
PF00206.18	Lyase_1	Lyase
PF00207.20	A2M	Alpha-2-macroglobulin family
PF00208.19	ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209.16	SNF	Sodium:neurotransmitter symporter family
PF00210.22	Ferritin	Ferritin-like domain
PF00211.18	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain
PF00212.16	ANP	Atrial natriuretic peptide
PF00213.16	OSCP	ATP synthase delta (OSCP) subunit
PF00214.17	Calc_CGRP_IAPP	Calcitonin / CGRP / IAPP family
PF00215.22	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216.19	Bac_DNA_binding	Bacterial DNA-binding protein
PF00217.17	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218.19	IGPS	Indole-3-glycerol phosphate synthase
PF00219.16	IGFBP	Insulin-like growth factor binding protein
PF00220.15	Hormone_4	Neurohypophysial hormones, N-terminal Domain
PF00221.17	Lyase_aromatic	Aromatic amino acid lyase
PF00223.17	PsaA_PsaB	Photosystem I psaA/psaB protein
PF00224.19	PK	Pyruvate kinase, barrel domain
PF00225.21	Kinesin	Kinesin motor domain
PF00226.29	DnaJ	DnaJ domain
PF00227.24	Proteasome	Proteasome subunit
PF00228.18	Bowman-Birk_leg	Bowman-Birk serine protease inhibitor family
PF00229.16	TNF	TNF(Tumour Necrosis Factor) family
PF00230.18	MIP	Major intrinsic protein
PF00231.17	ATP-synt	ATP synthase
PF00232.16	Glyco_hydro_1	Glycosyl hydrolase family 1
PF00233.17	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase
PF00234.20	Tryp_alpha_amyl	Protease inhibitor/seed storage/LTP family
PF00235.17	Profilin	Profilin
PF00236.16	Hormone_6	Glycoprotein hormone
PF00237.17	Ribosomal_L22	Ribosomal protein L22p/L17e
PF00238.17	Ribosomal_L14	Ribosomal protein L14p/L23e
PF00239.19	Resolvase	Resolvase, N terminal domain
PF00240.21	ubiquitin	Ubiquitin family
PF00241.18	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein
PF00242.15	DNA_pol_viral_N	DNA polymerase (viral) N-terminal domain
PF00243.16	NGF	Nerve growth factor family
PF00244.18	14-3-3	14-3-3 protein
PF00245.18	Alk_phosphatase	Alkaline phosphatase
PF00246.22	Peptidase_M14	Zinc carboxypeptidase
PF00248.19	Aldo_ket_red	Aldo/keto reductase family
PF00249.29	Myb_DNA-binding	Myb-like DNA-binding domain
PF00250.16	Forkhead	Forkhead domain
PF00251.18	Glyco_hydro_32N	Glycosyl hydrolases family 32 N-terminal domain
PF00252.16	Ribosomal_L16	Ribosomal protein L16p/L10e
PF00253.19	Ribosomal_S14	Ribosomal protein S14p/S29e
PF00254.26	FKBP_C	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255.17	GSHPx	Glutathione peroxidase
PF00257.17	Dehydrin	Dehydrin
PF00258.23	Flavodoxin_1	Flavodoxin
PF00260.18	Protamine_P1	Protamine P1
PF00261.18	Tropomyosin	Tropomyosin
PF00262.16	Calreticulin	Calreticulin family
PF00263.19	Secretin	Bacterial type II and III secretion system protein
PF00264.18	Tyrosinase	Common central domain of tyrosinase
PF00265.16	TK	Thymidine kinase
PF00266.17	Aminotran_5	Aminotransferase class-V
PF00267.19	Porin_1	Gram-negative porin
PF00268.19	Ribonuc_red_sm	Ribonucleotide reductase, small chain
PF00269.18	SASP	Small, acid-soluble spore proteins, alpha/beta type
PF00270.27	DEAD	DEAD/DEAH box helicase
PF00271.29	Helicase_C	Helicase conserved C-terminal domain
PF00272.17	Cecropin	Cecropin family
PF00273.18	Serum_albumin	Serum albumin family
PF00274.17	Glycolytic	Fructose-bisphosphate aldolase class-I
PF00275.18	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276.18	Ribosomal_L23	Ribosomal protein L23
PF00277.16	SAA	Serum amyloid A protein
PF00278.20	Orn_DAP_Arg_deC	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280.16	potato_inhibit	Potato inhibitor I family
PF00281.17	Ribosomal_L5	Ribosomal protein L5
PF00282.17	Pyridoxal_deC	Pyridoxal-dependent decarboxylase conserved domain
