jgi_spid	GOLD_BIOSAMPLE_ID	LATITUDE	LONGITUDE	ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	HABITAT	GOLD_STUDY_ID	STUDY_NAME	ANALYSIS_PROJECT_TYPE	ANALYSIS_PROJECT_NAME_FULL	ANTHROPOGENIC_PERTURBATION_1	ANTHROPOGENIC_PERTURBATION_2	GEOTHERMAL_ENVIRONMENT	HYDROCARBON_ENVIRONMENT	EUKARYOTIC	VIRAL	DESCRIPTION	EMPO_1	EMPO_2	EMPO_3
1000607	Gb0053563	35.234403	-119.894257	Environmental	Aquatic	Non-marine Saline and Alkaline	Alkaline sediment	Gs0063439	Alkaline sediment microbial communities from Soda lakes and Soda Solonchak soils	Metagenome Analysis	Alkali sediment microbial communities from Soda Lake; CA; USA - 8KL_010_SED (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	na	Free-living	Saline	Hypersaline (saline)
1000613	Gb0053347	37.475383	-121.9729	Environmental	Aquatic	Marine	Environmental	Gs0053056	Environmental microbial communities from Fremont; CA and La Paraguera; Puerto Rico	Metagenome Analysis	Marine sediment microbial community from Fremont; CA; USA - Pond A23 Sediment 1 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Sediment microbial community from Pond A23 (Site 1) of the Alviso Ponds in the San Francisco South Bay in California	Free-living	Saline	Water (saline)
1000616	Gb0053348	37.474067	-121.973033	Environmental	Aquatic	Marine	Environmental	Gs0053056	Environmental microbial communities from Fremont; CA and La Paraguera; Puerto Rico	Metagenome Analysis	Marine sediment microbial community from Fremont; CA; USA - Pond A23 Sediment 2 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Sediment microbial community from Pond A23 (Site 2) of the Alviso Ponds in the San Francisco South Bay in California	Free-living	Saline	Water (saline)
1000619	Gb0054273	17.96725	-67.0188733	Environmental	Aquatic	Marine	Environmental	Gs0053056	Environmental microbial communities from Fremont; CA and La Paraguera; Puerto Rico	Metagenome Analysis	Marine sediment microbial community from La Parguera; Puerto Rico - PR Tt Sediment 3 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Thalassia testudinum sediment (Site C) from the Bioluminescent Bay in La Parguera; PR	Free-living	Saline	Water (saline)
1000622	Gb0053725	37.569017	-122.102433	Environmental	Aquatic	Marine	Environmental	Gs0053056	Environmental microbial communities from Fremont; CA and La Paraguera; Puerto Rico	Metagenome Analysis	Marine sediment microbial community from Union City; CA; USA - Pond 2C Sediment 2 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Sediment microbial community taken from Pond 2C (Site A) from the Eden Landing Ponds in the South San Francisco Bay in California	Free-living	Saline	Water (saline)
1000625	Gb0054270	37.472483	-121.97315	Environmental	Aquatic	Non-marine Saline and Alkaline	Salt pond	Gs0053056	Environmental microbial communities from Fremont; CA and La Paraguera; Puerto Rico	Metagenome Analysis	Salt pond sediment microbial community from Fremont; CA; USA - Pond A23 Sediment 3 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Sediment microbial community from Pond A23 (Site 3) of the Alviso Ponds in the San Francisco South Bay in California	Free-living	Saline	Water (saline)
1000628	Gb0053695	37.569083	-122.103267	Environmental	Aquatic	Marine	Environmental	Gs0053056	Environmental microbial communities from Fremont; CA and La Paraguera; Puerto Rico	Metagenome Analysis	Marine sediment microbial community from Union City; CA; USA - Pond 1C Sediment 1 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Sediment microbial community taken from Pond 1C (Site A) from the Eden Landing Ponds in the South San Francisco Bay in California	Free-living	Saline	Water (saline)
1000631	Gb0052708	-77.38861	161.931111	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Gs0067859	Hypersaline microbial communities from Lake Vida; Antarctica	Metagenome Analysis	Hypersaline microbial communities from Lake Vida; Antarctica - Brine Hole Two &gt;0.2 micron (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Brine Hole Two >0.2 micron fraction	Free-living	Saline	Hypersaline (saline)
1000634	Gb0054089	36.83	-121.785	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline mat	Gs0067861	Saline; thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Metagenome Analysis	Hot spring microbial communities from Elkhorn Slough; Monterey Bay; USA - MD2A	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Hypersaline mat	Free-living	Saline	Water (saline)
1000649	Gb0054019	38.88	-120.64	Environmental	Terrestrial	Soil	Forest soil	Gs0071004	Forest soil microbial communities from multiple locations in Canada and USA	Metagenome Analysis	Forest soil microbial communities from El Dorado National Forest; California; USA - Mediterranean Blodgett CA OM1_M3 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Forest soil	Free-living	Non-saline	Soil (non-saline)
1000652	Gb0054049	38.88	-120.64	Environmental	Terrestrial	Soil	Forest soil	Gs0071004	Forest soil microbial communities from multiple locations in Canada and USA	Metagenome Analysis	Forest soil microbial communities from El Dorado National Forest; California; USA - Mediterranean Blodgett CA OM2_O1 (SPAdes)	unperturbed	unperturbed	FALSE	FALSE	FALSE	FALSE	Forest soil	Free-living	Non-saline	Soil (non-saline)
1001462	Gb0053847	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Subsurface groundwater microbial communities from S. Glens Falls; New York; USA - GMW36 contaminated; 6.7 m (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Subsurface groundwater monitoring well GMW36 contaminated; S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001465	Gb0053848	43.099444	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Subsurface groundwater microbial communities from S. Glens Falls; New York; USA - GMW37 contaminated; 5.8 m (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Subsurface groundwater monitoring well GMW37 contaminated; S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001468	Gb0053849	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Subsurface groundwater microbial communities from S. Glens Falls; New York; USA - GMW46 contaminated; 5.4 m (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Subsurface groundwater monitoring well GMW46 contaminated; S. Glens Fall; NY	Free-living	Non-saline	Subsurface (non-saline)
1001471	Gb0053850	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Subsurface groundwater microbial communities from S. Glens Falls; New York; USA - GMW60B uncontaminated upgradient; 5.4 m (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Subsurface groundwater monitoring well GMW60B uncontaminated; S. Glens Fall; NY	Free-living	Non-saline	Subsurface (non-saline)
1001474	Gb0054756	43.099444	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 12C3dose (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
1001477	Gb0054471	43.292222	-73.604444	Environmental	Aquatic	Freshwater	Groundwater	Gs0069861	Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls; New York; USA	Metagenome Analysis	Groundwater microbial communities from S. Glens Falls; New York; USA - Naphthalene biodegradation metagenome 12C5dose (SPAdes)	perturbed	polluted	FALSE	TRUE	FALSE	FALSE	Coal-tar-waste contaminated groundwater in S. Glens Falls; NY	Free-living	Non-saline	Subsurface (non-saline)
