pfam,feature_importance_vals
PF13844.4,0.05869578
PF17158.2,0.042330787
PF01497.16,0.03513924
PF07750.9,0.034661066
PF06684.9,0.03246497
PF12769.5,0.03162974
PF02790.13,0.030566586
PF12072.6,0.02929253
PF09594.8,0.028209368
PF11233.6,0.027184965
PF12891.5,0.025645388
PF04966.10,0.024268158
PF03073.13,0.021586996
PF10082.7,0.01999031
PF08369.8,0.018658603
PF02536.12,0.016908966
PF03492.13,0.015014419
PF14215.4,0.01286901
PF07525.14,0.011717718
PF15887.3,0.010846339
PF03967.11,0.010007225
PF08936.8,0.00930339
PF02728.14,0.008619781
PF15882.3,0.0078740185
PF08379.8,0.0072665317
PF04601.11,0.0064775124
PF03950.16,0.0060464363
PF13803.4,0.0056474903
PF00560.31,0.005162394
PF13290.4,0.00482271
PF03209.13,0.0043856297
PF15280.4,0.0040753917
PF00148.17,0.0036460152
PF11674.6,0.0
PF11668.6,0.0
PF11669.6,0.0
PF11749.6,0.0
PF11641.6,0.0
PF11670.6,0.0
PF11748.6,0.0
PF11671.6,0.0
PF11672.6,0.0
PF11673.6,0.0
PF11747.6,0.0
PF11648.6,0.0
PF11666.6,0.0
PF11675.6,0.0
PF11676.6,0.0
PF11677.6,0.0
PF11678.6,0.0
PF11679.6,0.0
PF11680.6,0.0
PF11681.6,0.0
PF11682.6,0.0
PF11683.6,0.0
PF11684.6,0.0
PF11685.6,0.0
PF11667.6,0.0
PF11642.6,0.0
PF11750.6,0.0
PF11658.6,0.0
PF11649.6,0.0
PF11650.6,0.0
PF11651.6,0.0
PF11652.6,0.0
PF11647.6,0.0
PF11653.6,0.0
PF11654.6,0.0
PF11655.6,0.0
PF11656.6,0.0
PF11657.6,0.0
PF11751.6,0.0
PF11752.6,0.0
PF11646.6,0.0
PF11659.6,0.0
PF11660.6,0.0
PF11661.6,0.0
PF11662.6,0.0
PF11645.6,0.0
PF11644.6,0.0
PF11686.6,0.0
PF11663.6,0.0
PF11665.6,0.0
PF11740.6,0.0
PF11691.6,0.0
PF11687.6,0.0
PF11728.6,0.0
PF11717.6,0.0
PF11718.6,0.0
PF11719.6,0.0
PF11720.6,0.0
PF11721.6,0.0
PF11722.6,0.0
PF11744.6,0.0
PF11723.6,0.0
PF11724.6,0.0
PF11725.6,0.0
PF11726.6,0.0
PF11727.6,0.0
PF11729.6,0.0
PF11688.6,0.0
PF11743.6,0.0
PF11730.6,0.0
PF11731.6,0.0
PF11732.6,0.0
PF11742.6,0.0
PF11733.6,0.0
PF11734.6,0.0
PF11735.6,0.0
PF11736.6,0.0
PF11737.6,0.0
PF11738.6,0.0
PF11739.6,0.0
PF11716.6,0.0
PF11715.6,0.0
PF11714.6,0.0
PF11713.6,0.0
PF11690.6,0.0
PF11741.6,0.0
PF11692.6,0.0
PF11693.6,0.0
PF11694.6,0.0
PF11695.6,0.0
PF11696.6,0.0
PF11697.6,0.0
PF11698.6,0.0
PF11699.6,0.0
PF11700.6,0.0
PF11701.6,0.0
PF11702.6,0.0
PF11746.6,0.0
PF11703.6,0.0
PF11704.6,0.0
PF11705.6,0.0
PF11706.6,0.0
PF11707.6,0.0
PF11708.6,0.0
PF11745.6,0.0
PF11709.6,0.0
PF11710.6,0.0
PF11711.6,0.0
PF11712.6,0.0
PF11640.6,0.0
PF11632.6,0.0
PF11639.6,0.0
PF11557.6,0.0
PF11543.6,0.0
PF11544.6,0.0
PF11545.6,0.0
PF11546.6,0.0
PF11547.6,0.0
PF11548.6,0.0
PF11549.6,0.0
PF11550.6,0.0
PF11551.6,0.0
PF11553.6,0.0
PF11554.6,0.0
PF11555.6,0.0
PF11556.6,0.0
PF11558.6,0.0
PF11540.6,0.0
PF11559.6,0.0
PF11560.6,0.0
PF11561.6,0.0
PF11563.6,0.0
PF11564.6,0.0
PF11565.6,0.0
PF11566.6,0.0
PF11567.6,0.0
PF11568.6,0.0
PF11569.6,0.0
PF11570.6,0.0
PF11571.6,0.0
PF11572.6,0.0
PF11542.6,0.0
PF11539.6,0.0
PF11574.6,0.0
PF11523.6,0.0
PF11510.6,0.0
PF11511.6,0.0
PF11512.6,0.0
PF11513.6,0.0
PF11514.6,0.0
PF11515.6,0.0
PF11516.6,0.0
PF11517.6,0.0
PF11518.6,0.0
PF11519.6,0.0
PF11520.6,0.0
PF11521.6,0.0
PF11522.6,0.0
PF11524.6,0.0
PF11538.6,0.0
PF11525.6,0.0
PF11526.6,0.0
PF11527.6,0.0
PF11528.6,0.0
PF11529.6,0.0
PF11530.6,0.0
PF11531.6,0.0
PF11532.6,0.0
PF11533.6,0.0
PF11534.6,0.0
PF11535.6,0.0
PF11536.6,0.0
PF11537.6,0.0
PF11573.6,0.0
PF11575.6,0.0
PF11638.6,0.0
PF11623.6,0.0
PF11609.6,0.0
PF11610.6,0.0
PF11611.6,0.0
PF11612.6,0.0
PF11614.6,0.0
PF11615.6,0.0
PF11616.6,0.0
PF11617.6,0.0
PF11618.6,0.0
PF11619.6,0.0
PF11620.6,0.0
PF11621.6,0.0
PF11622.6,0.0
PF11624.6,0.0
PF11607.6,0.0
PF11625.6,0.0
PF11626.6,0.0
PF11627.6,0.0
PF11628.6,0.0
PF11629.6,0.0
PF11630.6,0.0
PF11631.6,0.0
PF11754.6,0.0
PF11633.6,0.0
PF11634.6,0.0
PF11635.6,0.0
PF11636.6,0.0
PF11637.6,0.0
PF11608.6,0.0
PF11606.6,0.0
PF11576.6,0.0
PF11590.6,0.0
PF11577.6,0.0
PF11578.6,0.0
PF11579.6,0.0
PF11580.6,0.0
PF11581.6,0.0
PF11582.6,0.0
PF11583.6,0.0
PF11584.6,0.0
PF11585.6,0.0
PF11586.6,0.0
PF11587.6,0.0
PF11588.6,0.0
PF11589.6,0.0
PF11591.6,0.0
PF11605.6,0.0
PF11592.6,0.0
PF11593.6,0.0
PF11594.6,0.0
PF11595.6,0.0
PF11596.6,0.0
PF11597.6,0.0
PF11598.6,0.0
PF11599.6,0.0
PF11600.6,0.0
PF11601.6,0.0
PF11602.6,0.0
PF11603.6,0.0
PF11604.6,0.0
PF11753.6,0.0
PF11762.6,0.0
PF11755.6,0.0
PF11931.6,0.0
PF11917.6,0.0
PF11918.6,0.0
PF11919.6,0.0
PF11920.6,0.0
PF11921.6,0.0
PF11922.6,0.0
PF11923.6,0.0
PF11924.6,0.0
PF11925.6,0.0
PF11926.6,0.0
PF11927.6,0.0
PF11928.6,0.0
PF11929.6,0.0
PF11932.6,0.0
PF11915.6,0.0
PF11933.6,0.0
PF11934.6,0.0
PF11935.6,0.0
PF11936.6,0.0
PF11937.6,0.0
PF11938.6,0.0
PF11939.6,0.0
PF11940.6,0.0
PF11941.6,0.0
PF11942.6,0.0
PF11943.6,0.0
PF11944.6,0.0
PF11945.6,0.0
PF11916.6,0.0
PF11914.6,0.0
PF11947.6,0.0
PF11897.6,0.0
PF11884.6,0.0
PF11885.6,0.0
PF11886.6,0.0
PF11887.6,0.0
PF11888.6,0.0
PF11889.6,0.0
PF11890.6,0.0
PF11891.6,0.0
PF11892.6,0.0
PF11893.6,0.0
PF11894.6,0.0
PF11895.6,0.0
PF11896.6,0.0
PF11898.6,0.0
PF11913.6,0.0
PF11899.6,0.0
PF11900.6,0.0
PF11901.6,0.0
PF11902.6,0.0
PF11903.6,0.0
PF11904.6,0.0
PF11905.6,0.0
PF11906.6,0.0
PF11907.6,0.0
PF11909.6,0.0
PF11910.6,0.0
PF11911.6,0.0
PF11912.6,0.0
PF11946.6,0.0
PF11948.6,0.0
PF11756.6,0.0
PF11995.6,0.0
PF11982.6,0.0
PF11983.6,0.0
PF11984.6,0.0
PF11985.6,0.0
PF11986.6,0.0
PF11987.6,0.0
PF11988.6,0.0
PF11989.6,0.0
PF11990.6,0.0
PF11991.6,0.0
PF11992.6,0.0
PF11993.6,0.0
PF11994.6,0.0
PF11996.6,0.0
PF11980.6,0.0
PF11997.6,0.0
PF11998.6,0.0
PF11999.6,0.0
PF12000.6,0.0
PF12001.6,0.0
PF12002.6,0.0
PF12004.6,0.0
PF12005.6,0.0
PF12006.6,0.0
PF12007.6,0.0
PF12008.6,0.0
PF12009.6,0.0
PF12010.6,0.0
PF11981.6,0.0
PF11979.6,0.0
PF11949.6,0.0
PF11963.6,0.0
PF11950.6,0.0
PF11951.6,0.0
PF11952.6,0.0
PF11953.6,0.0
PF11954.6,0.0
PF11955.6,0.0
PF11956.6,0.0
PF11957.6,0.0
PF11958.6,0.0
PF11959.6,0.0
PF11960.6,0.0
PF11961.6,0.0
PF11962.6,0.0
PF11964.6,0.0
PF11978.6,0.0
PF11965.6,0.0
PF11966.6,0.0
PF11967.6,0.0
PF11968.6,0.0
PF11969.6,0.0
PF11970.6,0.0
PF11971.6,0.0
PF11972.6,0.0
PF11973.6,0.0
PF11974.6,0.0
PF11975.6,0.0
PF11976.6,0.0
PF11977.6,0.0
PF11883.6,0.0
PF11882.6,0.0
PF11881.6,0.0
PF11802.6,0.0
PF11789.6,0.0
PF11790.6,0.0
PF11791.6,0.0
PF11792.6,0.0
PF11793.6,0.0
PF11794.6,0.0
PF11795.6,0.0
PF11796.6,0.0
PF11797.6,0.0
PF11798.6,0.0
PF11799.6,0.0
PF11800.6,0.0
PF11801.6,0.0
PF11803.6,0.0
PF11787.6,0.0
PF11804.6,0.0
PF11805.6,0.0
PF11806.6,0.0
PF11807.6,0.0
